ADMIN|FAIL|2019-10-29 09:50:27|3004|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-29 09:50:37|3004|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-29 10:11:46|3004|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36|
ADMIN|FAIL|2019-10-29 10:12:01|3004|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36|
ADMIN|FAIL|2019-10-29 13:31:20|3003|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-29 13:31:39|3003|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-29 13:31:48|3003|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-30 09:05:34|3003|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36|
ADMIN|FAIL|2019-10-30 11:33:40|3005|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36|
ADMIN|FAIL|2019-10-30 11:33:45|3005|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36|
ADMIN|FAIL|2019-10-30 14:31:35|3005|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36|
ADMIN|FAIL|2019-10-30 14:31:39|3005|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36|
ADMIN|FAIL|2019-10-31 15:16:05|3002|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36|
ADMIN|FAIL|2019-10-31 15:19:07|3004|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36|
ADMIN|FAIL|2019-11-01 11:10:03|Ascend03|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36|
